id,tree_type_id,maint_date,replace_date,plant_date,diameter_at_height,height,spread,grove,tree_status_id,agency_id,street_no,street,longitude,latitude
12982,9,,,26-Feb-11,,,,,,,7626,Anchor,-119.8944,34.42597
12983,9,,,26-Feb-11,,,,,,,7621,Dartmoor,-119.89409,34.43533
12984,9,,,02-Apr-11,,,,,,,7625,Dartmoor,-119.89409,34.43533
12985,9,,,02-Apr-11,,,,,,,7625,Dartmoor,-119.89409,34.43533
13149,9,,,02-Apr-11,,,,,,,7625,Dartmoor,-119.89409,34.43533
13150,9,,,02-Apr-11,,,,,,,7625,Dartmoor,-119.89409,34.43533
12576,40,,,02-Oct-10,,,,,,,7616,Pismo Beach,-119.89394,34.42525
12577,40,,,02-Oct-10,,,,,,,7616,Pismo Beach,-119.89394,34.42525
12578,40,,,02-Oct-10,,,,,,,7616,Pismo Beach,-119.89394,34.42525
10680,45,,,14-Dec-05,,,,,,8,7631,Evergreen,-119.89382,34.44012
10681,45,,,14-Dec-05,,,,,,8,7631,Evergreen,-119.89382,34.44012
10682,45,,,14-Dec-05,,,,,,8,7631,Evergreen,-119.89382,34.44012
10683,9,,,21-Dec-05,,,,,,8,7631,Evergreen,-119.89382,34.44012
10684,9,,,21-Dec-05,,,,,,8,7631,Evergreen,-119.89382,34.44012
10685,9,,,21-Dec-05,,,,,,8,7631,Evergreen,-119.89382,34.44012
11025,75,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11785,75,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11786,75,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11787,75,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11788,75,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11789,75,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11790,75,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
12585,60,,,02-Mar-07,,,,,,,7686,Hollister,-119.89373,34.4298
11019,40,,,20-Apr-05,,,,,0,19,7686,Hollister,-119.89373,34.4298
11020,40,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11021,40,,,20-Apr-05,,,,,0,19,7686,Hollister,-119.89373,34.4298
11022,40,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11035,45,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11036,45,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11037,45,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11038,45,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11814,95,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11013,65,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11014,65,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11015,65,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11016,65,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11027,59,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11028,59,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11029,59,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11030,59,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11031,59,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11032,59,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11033,59,,,20-Apr-05,,,,,0,19,7686,Hollister,-119.89373,34.4298
11034,59,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11815,59,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11816,59,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11817,59,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
13472,59,,,09-Mar-11,,,,,,,7686,Hollister,-119.89373,34.4298
11791,52,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11792,52,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11793,52,,07-Jun-08,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11017,53,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11018,73,,,20-Apr-05,,,,,0,19,7686,Hollister,-119.89373,34.4298
11794,73,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11803,73,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11804,73,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11805,73,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11806,73,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11807,73,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11808,73,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11809,73,,,18-Nov-06,,,,,0,19,7686,Hollister,-119.89373,34.4298
11810,73,,16-Jan-10,18-Nov-06,,,,,0,19,7686,Hollister,-119.89373,34.4298
11811,73,,,18-Nov-06,,,,,0,19,7686,Hollister,-119.89373,34.4298
11812,73,,16-Jan-10,18-Nov-06,,,,,0,19,7686,Hollister,-119.89373,34.4298
11813,73,,,18-Nov-06,,,,,0,19,7686,Hollister,-119.89373,34.4298
11026,43,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11023,39,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11024,39,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11009,7,,,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11010,49,,16-Jan-10,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11011,49,,16-Jan-10,20-Apr-05,,,,,,19,7686,Hollister,-119.89373,34.4298
11012,49,,,20-Apr-05,,,,,0,19,7686,Hollister,-119.89373,34.4298
11797,79,,07-Jun-08,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11798,79,,07-Jun-08,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11799,79,,08-Sep-07,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11795,66,,07-Jun-08,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11796,66,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11800,66,,16-Jan-10,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11801,66,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
11802,66,,,18-Nov-06,,,,,,19,7686,Hollister,-119.89373,34.4298
10704,43,,,17-Jan-06,,,,,,8,7600,CATHEDRAL OAKS,-119.8934758591464,34.44149594450415
12580,59,,,02-Oct-10,,,,,,,7617,Carmel Beach,-119.8933601117415,34.42427678470294
10705,43,,,17-Jan-06,,,,,,8,7600,CATHEDRAL OAKS,-119.8933383452884,34.44149068578982
10706,43,,,17-Jan-06,,,,,,8,7600,CATHEDRAL OAKS,-119.8932193902757,34.44149946935199
10703,43,,,17-Jan-06,,,,,,8,7600,CATHEDRAL OAKS,-119.893142040537,34.44149366236519
10697,75,,,17-Jan-06,,,,,,8,7600,CATHEDRAL OAKS,-119.8929468033251,34.4414938347232
11732,75,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11733,75,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
10485,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10486,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10487,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10488,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10489,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10490,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10491,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10492,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10493,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
